,구분,제조사,제조국,표준 장치명,세부 장치명,모델명,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,KC 인증여부,동물용 의료기기 허가,특혀번호,주요기능,전송 구성도,사업 분야,농장명/업체명,농장주,모델명,수 량,계약 금액,사업 년도,판매 형태
0,시설원예,주식회사 하나로수경,대한민국,양액기,양액기,HS-8000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"- 프로그램 별 EC, pH, 유량, 광량, 지습 정보 표시
- 양액 및 관수 방법 수동 또는 자동 제어 지원
- 양액 총 공급량, 공급 횟수 정보 제공
- 관수 시간 작동 조건 설정 지원
- 센서 보정 기능 
- 과거 데이터 현황 확인 기능",기타,-,-,-,-,-,-,-,-
1,시설원예,주식회사 하나로수경,대한민국,환경제어기,환경제어기,하나로하이팜,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"본 시스템은 하우스 내, 외부의 생장환경(일사, 감우, 외부온도, 외부습도, 풍향, 풍속, 실내온도, 실내습도, 실내 CO2) 을 감지기로부터 데이터 수집 후 통합제어기를 통해  설정된 온실운용 프로그램에 따라 하우스에 설치되어 있는 각종 구동제어기들을 제어하여 작물의 최적생육 환경을 조성하고 데이터를 저장하여 재배자가 원하는 온실 환경을 제공하는 시스템",기타,-,-,-,-,-,-,-,-
2,"시설원예, 축산",휴미템,대한민국,환경제어기,환경제어기,RichA1,O,X,X,X,O,X,X,X,X,X,X,인증,해당없음,10-1267633,"습도대비 온도 제어 시스템은 습도에 변화에 따라 온도를 변온 관리하여 사육환경을 최적화시켜 증체량 증가, 질병예방, 사료비절감, 연료비 절감, 노동력절감, 생산성 향상 등 많은 부가가치를 창출, 환경 친화적인 가축사육을 가능하게 한다.

1) 가축 생육 최적 환경 제공
  습도를 고려한 최적의 온도를 자동으로 맞춰 가축 생육의 최적의 환경을 제공한다. 다시 말하면, 돼지가 실제로 피부로 느끼는 체감온도를 맞추어 생육하기에 최적의 환경으로 만들어 면역력증가로 환절기 호흡기 예방 및 증체량 증가, 출하 일령 단축 등 많은 시너지 효과를 얻을 수 있다. 

2) 습도대비 온도관리 통합 시스템
  별도의 외부 장치 없이 1대의 컨트롤러로 가변1차, 가변 2차, 가변 3차, 4차 휀 환기를 습도대비 온도를 기준으로 제어 한다. 기존에 설치된 환기 휀을 교체 없이 그대로 사용 가능하여 시설 투자비를 절감 할 수 있다. 컨트롤러 추가 없이 포유자돈 보온열등, 가습기, 제습기, 냉방 쿨링시스템 등 돈사 통합 관리 시스템으로 사용할 수 있다.

3) 간편한 세팅으로 자동 온습도 관리
  단 한 번의 설정으로 사계절 돈사 내부의 온도와 습도를 자동으로 관리하는 인공지능 시스템이다. 사용자 설정에 따라 분만 모돈용, 임신 모돈용, 자돈용, 육성 및 비육용으로 사용 가능한 효율적인 온습도 제어 시스템이다. 

4) 효율적인 관리로 운영비용 절감
  돈사 내부 습도를 고려한 온도 제어시스템을 사용하면 양돈 사육하기에 최적의 환경을 만들기 때문에 불필요한 난방비 및 냉방비를 절감할 수 있다. 최적의 환경을 제공하기에 증체량 대비 사료비의 효율을 극대화 한다. 양돈 사육에 알맞은 환경을 만들어 주어 질병에 대한 자체 면역력을 향상시켜 약품비를 절감 한다.",자체서버,-,-,-,-,-,-,-,-
3,"시설원예, 축산",휴미템,대한민국,환풍기,환풍기,RS-No1,O,X,X,X,O,X,X,X,X,X,X,인증,해당없음,10-1976264,"- 간접 정밀 공조 (돈사, 하우스 내외부 공기 순환)
- 환기팬 자동 정밀 제어(상부팬, 하부팬)
- 환경 필터말을 이용한 악취 저감
- 비상시 동작 완벽 지원",자체서버,-,-,-,-,-,-,-,-
4,시설원예,(유)금화이엔에스,대한민국,양액기,양액기,NEO-H,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"작물 성장에 필요한 영양분을 재때에 공급하여 생산성과 품질향상 효과를 극대화하며, 외부환경과 내부 환경을 분석하여 작물에 필요한 양을 계산하여 공급하는 시스템.
각 주기별 다른 조건으로 개별 설정이 가능
시비 후 제어기능을 통해 투입관에 남아있는 잔류 양액 투입
PC 프로그램을 통해 관수량, 양액량, 환경정보 등 누적 데이터를 제공
양액공급 시 구역별 그 구역의 직전 DATA 값을 동기화하여 운전 시작
카카오톡을 통한 알림 서비스 제공",농가PC,-,-,-,-,-,-,-,-
5,"시설원예, 축산",(주)로그인서광,한국,환경제어기,환경제어기,LSG-CONT3201,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"1 (주)로그인서광의 스마트컨트롤러 LSG-CONT3201은 스위치16채널, 개폐기 16채널, 총 32채널을 원격 및 수동 조작 할 수 있는 제어장치 
(Controller)입니다.
2 본 제품은  한국농업기술진흥원  표준프로토콜인  검정기준  KSX3267을 준수하며 필요에 따라서 전면 패널을 사용한 수동기반의 제어가 가능 
한 제품입니다.
3 본 제품의 구동 로직은 PLC(Programmable Logic Controller)를 사용하여 동작에 대한 고 신뢰성의 제품이며, 특히 HMI(Human Machine Interface) 
패널 사용으로 사용자가 직관적으로 사용하기 편리함과 확장성을 보유하고 있는 제품입니다.
4 제어반의  스위치  16채널은  타이머  설정  스위치가  있어  정해진  시간동안  릴레이  스위치를  가동  할 수 있으며  필요에  따라  지속  동작도 
설정할 수 있습니다.
5 또한  본 제품의  특징인  키오스크  모니터링시스템과의  연동을  통해서 중앙 집중제어가 가능하도록 구동기 노드가 포함되어 있으며, 구동기 
노드는 한국농업기술지흥원 인증(검정시험)을 받은 제품으로 구성되어 있습니다.
6 부가적으로  키오스크와  온·습도센서,일사센서,풍향·풍속센서,감우  센서 등으로 구성된 ㈜로그인서광 스마트팜 제품군과 연동하여 설정에 따른 
제어가 가능하며, 필요시 행잉 베드제어도 가능하도록 설계되어 있으므로 추후 앱(App)과 연동하여 스마트폰으로 모니터링과 제어가 가능 하도록 개발된 제품입니다.",클라우드,-,-,-,-,-,-,-,-
6,시설원예,(유)금화이엔에스,대한민국,환경제어기,환경제어기,NEO1000,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"다양한 센서(온도, 습도, co2, 일사, 풍향, 풍속 등)와 구동기(천창, 측장, 커튼 등) 냉난방기 등 다양한 기계장치를 제어함으로써 작물에 알맞는 생육환경을 조성
제품 1대로 최대 8구역의 시설을 제어할 수 있으며, PC모니터링 시스템을 제공하여 시설 내부의 상황을 실시간으로 확인할 수 있음.",농가PC,-,-,-,-,-,-,-,-
7,"시설원예, 축산",(주)귿큰,한국,환경제어기,환경제어기,ICTINTERCOP(V1),O,O,O,O,O,O,O,O,O,O,O,미인증,해당없음,특허출원 제 10-2023-0075001 외 3건 (심사.공개),"본 발명은 제어기능 통합과 통합기능에 대한 테이터 관리가 가능한 환경제어장치에 관한 것으로, 
종례 축산이나 원예시설에 설치하는 급이기, 급수기, 분무기, 영양기, 개폐기, 환풍기, 선풍기, 온도, 습도, 탄소, 전등, 분만, 분료, 발정, 우적, 안개, 일사, 카메라, 스탄치온 등의 다수 다양한 환경제어장치들의 대표적 기능 중에 ON-OFF 또는 상하좌우 작동을 위한 제어기능 만을 각각 모두 추출하고 집약적으로 재구성하여 상기 다수 다양의 환경제어장치들의 제어기능을 집약적으로 관리할 수 있는 제어기능 통합과 통합기능에 대한 테이터 관리가 가능한 환경제어장치",자체서버,-,-,-,-,-,-,-,-
8,"시설원예, 축산",케이앤디글로벌,국산,환경제어기,환경제어기,i-1100,O,O,O,O,O,O,O,O,O,O,O,인증,해당없음,,"1. 원예.축산농가 에서 여러 장치들을 원격으로 환경정보를 수집
2. 원예.축산농가 에서 쓰이는 여러 장치들을 연결하여  원격으로 제어
3. 원예.축산농가 에서 쓰이는 장치들과 통신하여 상태정보 수집
4. 원예.축산농가 에서 쓰이는 장치들의 고장 진단 여부 파악
5. 원예.축산농가 에서 외부에서 PC나 휴대폰에서 웹을 통해 장치들 상태를 볼수 있다.
6. 원예.축산농가 에서 수집된 정보들을 저장 REPORT하는 기능",클라우드,-,-,-,-,-,-,-,-
9,시설원예,(주)나래트랜드,대한민국,환경제어기,환경제어기,반딧불이-스마트팜원격제어시스템,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1. 현장개폐기와 연동 원격에서 스마트폰으로 개폐기 제어가능
2. 온도, 습도 등 센서 설정 값에 따라 단순 자동제어 기능 포함
3. 유사시(정전, 침입, 온도이상 등) 스마트폰으로 즉시 경보전송
4. 스마트폰 앱을 통해 영상/센서데이터 실시간 모니터링
5. CCTV 카메라를 통한 24시간 감시 및 영상녹화",클라우드,-,-,-,-,-,-,-,-
